code_depot,num_compte,code_produit,libelle_produit,quantite_m3,montant_ht,date_livraison,date_retour,type_produit,prix_unitaire
1,153130,4,GASOIL,28.0,29982.512,2015-01-26,2015-01-27,C,1070.8039999999999
1,206921,4,GASOIL,20.0,21396.08,2015-01-26,2015-01-27,C,1069.804
1,153990,4,GASOIL,4.0,4283.216,2015-01-26,2015-01-27,C,1070.804
1,560332,4,GASOIL,5.0,5354.02,2015-01-05,2015-01-15,C,1070.804
1,436112,4,GASOIL,31.0,33194.924,2015-01-12,2015-01-15,C,1070.8039999999999
1,152440,4,GASOIL,4.0,4283.216,2015-01-05,2015-01-10,C,1070.804
1,154260,4,GASOIL,13.0,13920.452,2015-01-26,2015-01-27,C,1070.8039999999999
1,566001,4,GASOIL,2.0,2141.608,2015-01-26,2015-01-27,C,1070.804
1,154440,4,GASOIL,13.0,13920.452,2015-01-26,2015-01-27,C,1070.8039999999999
1,205151,4,GASOIL,5.0,5341.52,2015-01-26,2015-01-27,C,1068.304
1,153690,4,GASOIL,6.0,6424.824,2015-02-12,2015-02-13,C,1070.8039999999999
1,155130,4,GASOIL,9.0,9637.236,2015-02-03,2015-02-03,C,1070.804
1,155440,4,GASOIL,17.0,19065.568,2015-01-20,2015-01-22,C,1121.504
1,207631,4,GASOIL,31.0,33117.424,2015-01-26,2015-01-27,C,1068.3039999999999
1,241350,4,GASOIL,6.0,6424.824,2015-01-02,2015-01-09,C,1070.8039999999999
1,670051,4,GASOIL,10.0,10708.04,2015-01-13,2015-01-15,C,1070.804
1,566001,4,GASOIL,3.0,3212.412,2015-01-13,2015-01-15,C,1070.8039999999999
1,154420,4,GASOIL,11.0,11778.844,2015-01-05,2015-01-08,C,1070.8039999999999
1,153020,4,GASOIL,18.0,19274.472,2015-01-05,2015-01-09,C,1070.804
1,154400,4,GASOIL,9.0,9637.236,2015-01-03,2015-01-05,C,1070.804
1,152800,4,GASOIL,22.0,23557.688,2015-02-02,2015-02-03,C,1070.8039999999999
1,154870,4,GASOIL,8.0,8566.432,2015-02-02,2015-02-03,C,1070.804
1,155020,4,GASOIL,4.0,4283.216,2015-02-02,2015-02-03,C,1070.804
1,154450,4,GASOIL,17.0,18203.668,2015-01-02,2015-01-08,C,1070.804
1,154010,4,GASOIL,25.0,26770.1,2015-01-07,2015-01-08,C,1070.8039999999999
1,155140,4,GASOIL,21.0,22486.884,2015-01-07,2015-01-08,C,1070.8039999999999
1,154440,4,GASOIL,18.0,19274.472,2015-01-07,2015-01-08,C,1070.804
1,152800,4,GASOIL,31.0,33194.924,2015-01-07,2015-01-08,C,1070.8039999999999
1,153990,4,GASOIL,2.0,2141.608,2015-01-08,2015-01-08,C,1070.804
1,153650,4,GASOIL,9.0,9637.236,2015-01-08,2015-01-08,C,1070.804
1,153640,4,GASOIL,8.0,8566.432,2015-01-08,2015-01-08,C,1070.804
1,153690,4,GASOIL,25.0,26770.1,2015-01-06,2015-01-08,C,1070.8039999999999
1,207271,4,GASOIL,9.0,9614.736,2015-01-23,2015-01-26,C,1068.304
1,207271,4,GASOIL,4.0,4273.216,2015-01-23,2015-01-26,C,1068.304
1,155330,4,GASOIL,12.0,12849.648,2015-01-24,2015-01-26,C,1070.8039999999999
1,154250,4,GASOIL,11.0,11778.844,2015-01-06,2015-01-07,C,1070.8039999999999
1,155110,4,GASOIL,23.0,24628.492,2015-01-06,2015-01-07,C,1070.8039999999999
1,152440,4,GASOIL,11.0,11778.844,2015-01-06,2015-01-07,C,1070.8039999999999
1,154740,4,GASOIL,13.0,13920.452,2015-01-06,2015-01-07,C,1070.8039999999999
1,153240,4,GASOIL,9.0,9637.236,2015-01-06,2015-01-07,C,1070.804
1,202401,4,GASOIL,5.0,5354.02,2015-01-06,2015-01-07,C,1070.804
1,155620,4,GASOIL,16.0,17132.864,2015-01-06,2015-01-07,C,1070.804
1,153780,4,GASOIL,23.0,24605.492,2015-01-06,2015-01-07,C,1069.8039999999999
1,150720,4,GASOIL,9.0,9637.236,2015-01-05,2015-01-06,C,1070.804
1,218751,4,GASOIL,12.0,12837.648,2015-01-05,2015-01-07,C,1069.8039999999999
1,153100,4,GASOIL,23.0,24628.492,2015-01-05,2015-01-06,C,1070.8039999999999
1,225271,4,GASOIL,12.0,12837.648,2015-01-07,2015-01-08,C,1069.8039999999999
1,155020,4,GASOIL,11.0,11778.844,2015-01-06,2015-01-07,C,1070.8039999999999
1,227861,4,GASOIL,31.0,33055.424,2015-01-06,2015-01-07,C,1066.3039999999999
1,200851,4,GASOIL,31.0,33163.924,2015-01-06,2015-01-07,C,1069.8039999999999
1,219411,4,GASOIL,31.0,32869.424,2015-01-06,2015-01-07,C,1060.3039999999999
1,205561,4,GASOIL,3.0,3210.162,2015-01-13,2015-01-15,C,1070.0539999999999
1,155130,4,GASOIL,7.0,7495.628,2015-01-07,2015-01-07,C,1070.8039999999999
1,154500,4,GASOIL,11.0,11778.844,2015-01-03,2015-01-05,C,1070.8039999999999
1,153790,4,GASOIL,24.0,25699.296,2015-01-05,2015-01-06,C,1070.8039999999999
1,201251,4,GASOIL,12.0,12849.648,2015-01-05,2015-01-07,C,1070.8039999999999
1,153410,4,GASOIL,14.0,14991.256,2015-01-05,2015-01-07,C,1070.8039999999999
1,154880,4,GASOIL,26.0,27840.904,2015-01-07,2015-01-08,C,1070.8039999999999
1,672092,4,GASOIL,11.0,11778.844,2015-01-07,2015-01-08,C,1070.8039999999999
1,153160,4,GASOIL,20.0,21416.08,2015-01-08,2015-01-08,C,1070.804
1,154500,4,GASOIL,13.0,13920.452,2015-01-05,2015-01-06,C,1070.8039999999999
1,154860,4,GASOIL,13.0,13920.452,2015-01-02,2015-01-06,C,1070.8039999999999
1,154500,4,GASOIL,11.0,11778.844,2015-01-02,2015-01-06,C,1070.8039999999999
1,155560,4,GASOIL,18.0,19274.472,2015-01-02,2015-01-05,C,1070.804
1,155130,4,GASOIL,7.0,7495.628,2015-01-05,2015-01-07,C,1070.8039999999999
1,152930,4,GASOIL,4.0,4283.216,2015-01-05,2015-01-06,C,1070.804
1,155300,4,GASOIL,3.0,3212.412,2015-01-05,2015-01-07,C,1070.8039999999999
1,154990,4,GASOIL,14.0,14991.256,2015-01-05,2015-01-07,C,1070.8039999999999
1,152970,4,GASOIL,4.0,4283.216,2015-01-06,2015-01-07,C,1070.804
1,152360,4,GASOIL,4.0,4283.216,2015-01-06,2015-01-07,C,1070.804
1,153130,4,GASOIL,13.0,13920.452,2015-01-06,2015-01-07,C,1070.8039999999999
1,154250,4,GASOIL,12.0,12849.648,2015-01-02,2015-01-04,C,1070.8039999999999
1,152590,4,GASOIL,18.0,19274.472,2015-01-07,2015-01-08,C,1070.804
1,154770,4,GASOIL,15.0,16062.06,2015-01-02,2015-01-04,C,1070.8039999999999
1,154920,4,GASOIL,23.0,24628.492,2015-01-02,2015-01-04,C,1070.8039999999999
1,155140,4,GASOIL,19.0,20345.276,2015-01-02,2015-01-04,C,1070.804
1,154010,4,GASOIL,27.0,28911.708,2015-01-02,2015-01-04,C,1070.8039999999999
1,154870,4,GASOIL,11.0,11778.844,2015-01-02,2015-01-04,C,1070.8039999999999
1,155130,4,GASOIL,13.0,13920.452,2015-01-03,2015-01-04,C,1070.8039999999999
1,153240,4,GASOIL,10.0,10708.04,2015-02-03,2015-02-04,C,1070.804
1,204171,4,GASOIL,12.0,12837.648,2015-02-03,2015-02-04,C,1069.8039999999999
1,153160,4,GASOIL,18.0,19274.472,2015-02-26,2015-03-03,C,1070.804
1,154730,4,GASOIL,26.0,27840.904,2015-01-02,2015-01-04,C,1070.8039999999999
1,154950,4,GASOIL,4.0,4283.216,2015-01-03,2015-01-04,C,1070.804
1,153640,4,GASOIL,14.0,14991.256,2015-01-03,2015-01-04,C,1070.8039999999999
1,225851,4,GASOIL,4.0,4283.216,2015-01-02,2015-01-04,C,1070.804
1,154890,4,GASOIL,3.0,3212.412,2015-01-02,2015-01-04,C,1070.8039999999999
1,430102,4,GASOIL,5.0,5354.02,2015-01-02,2015-01-04,C,1070.804
1,154530,4,GASOIL,28.0,29982.512,2015-01-02,2015-01-04,C,1070.8039999999999
1,154260,4,GASOIL,4.0,4283.216,2015-01-06,2015-01-06,C,1070.804
1,206081,4,GASOIL,14.0,14981.26,2015-01-06,2015-01-06,C,1070.09
1,155300,4,GASOIL,13.0,13920.452,2015-01-03,2015-01-05,C,1070.8039999999999
1,154790,4,GASOIL,10.0,10708.04,2015-01-01,2015-01-05,C,1070.804
1,154260,4,GASOIL,13.0,13920.452,2015-01-02,2015-01-06,C,1070.8039999999999
1,211421,4,GASOIL,25.0,26745.1,2015-01-05,2015-01-06,C,1069.8039999999999
1,154690,4,GASOIL,16.0,17132.864,2015-01-05,2015-01-05,C,1070.804
1,153240,4,GASOIL,20.0,21416.08,2015-01-10,2015-01-12,C,1070.804
